"R11" "R12" "R13" "R14" "R15" "R16" "R17" "R18" "R19" "R110" "R21" "R22" "R23" "R24" "R25" "R26" "R27" "R28" "R29" "R210" "R31" "R32" "R33" "R34" "R35" "R36" "R37" "R38" "R39" "R310" "R41" "R42" "R43" "R44" "R45" "R46" "R47" "R48" "R49" "R410" "R51" "R52" "R53" "R54" "R55" "R56" "R57" "R58" "R59" "R510" "R61" "R62" "R63" "R64" "R65" "R66" "R67" "R68" "R69" "R610" "R71" "R72" "R73" "R74" "R75" "R76" "R77" "R78" "R79" "R710" "R81" "R82" "R83" "R84" "R85" "R86" "R87" "R88" "R89" "R810" "R91" "R92" "R93" "R94" "R95" "R96" "R97" "R98" "R99" "R910" "R101" "R102" "R103" "R104" "R105" "R106" "R107" "R108" "R109" "R1010"
"R11" 104.365404726829 21.094886979994 22.0698080326827 13.2457301307577 39.9290690166709 33.7641970776007 39.1393965124242 30.0581225393852 31.2605688914015 34.436553189419 17.4359155225478 13.0438803758832 47.1734027591123 30.2169875816511 27.4276160243336 17.4125124400326 24.9873479755376 21.5321797848437 24.6021150898701 30.4032283121039 29.4493523146297 27.1310814708446 9.36892291411222 13.1816508926177 20.2065760180204 16.9363496684032 19.1662075496066 14.0034529907723 22.3309175114561 17.016667685422 12.715045473624 10.2557997368272 13.1545853769667 19.8060181428277 13.9428568305332 14.8867204110639 13.5662861774025 13.7278085092501 15.3999253542854 17.1026575265873 15.1427146883739 15.2969552471234 11.8929818714923 6.08302163406428 10.8782615208778 8.38777867074732 13.0122453048569 10.166528269106 11.5423545801213 17.2618035016524 19.3416554889475 9.35652908944842 5.4780485483582 5.66922704500726 5.51247887304604 5.21446820636886 7.6173811332197 6.61777345703255 9.06817402764906 6.20905698081143 8.79202148153542 9.69927919860166 3.77121838829214 5.13293214382819 4.9544664125411 4.94519505887075 6.69682201971436 10.6966858771741 8.91609058063056 17.1784585904199 2.36412359553435 0.0706467366796563 4.79964776854576 2.43653388530674 6.65141515829465 2.29111042655428 2.69110570050547 11.709669480329 1.01443767235653 -3.93444463909171 0.0518039461019918 0.164185255394193 0.221015235287095 -0.228967745996041 -3.72191460200616 -0.296315327306281 7.11566987882259 -1.54642125410571 5.04312952049898 -1.0762708769287 -3.60157124377038 -3.116118037137 -2.87119387968769 -3.68830942280957 -3.28332231127216 -0.937281789004984 -1.57618541913633 -1.79310022854617 3.65816649410393 -3.84914487767663
"R12" 21.094886979994 126.643733551822 8.75114079594908 16.4327176280973 15.6534714541343 20.4186330072211 14.3724437746986 12.2065996643553 29.6707353748198 18.1759710408953 18.3899470100804 9.57571413255988 17.1867732617647 7.8402426956235 12.0318868569732 8.11783275678652 17.5046138025731 13.3156841578946 14.6050878670639 19.4779198376702 23.193740647679 11.8653998647689 3.26411515333597 12.6456286678194 9.65319074276392 15.5670031821515 11.0791656410981 10.1866430689484 16.2213399584737 17.9006319209434 9.72887399251133 11.6807296174425 7.55510125914157 9.7982310380251 5.70882927256916 8.46409774555573 4.19559131228504 7.94280590482096 6.89259088112977 13.1528333212123 12.6537179880129 9.6228250011755 6.77934877893007 3.49794043588249 4.16239964661261 4.68965673394124 4.22653933964366 5.66952561797035 9.06760837908468 16.7209709691469 4.66763546619444 8.68083344497152 1.69325687415475 1.37847739351726 3.2331887555975 4.10746835753773 -1.70488636687397 12.5149737546853 15.2284267070249 16.8943674486599 3.51174753234091 -3.14942345408906 1.26144710139126 -2.05564550261411 0.155259747619357 1.08701460008767 3.40308043524783 5.04159779712184 5.47656668018563 18.2845755528811 3.75568076609678 -1.18032816405974 1.60319205257272 0.934706562463913 2.74478339456282 -3.40096187112754 10.5652184862359 6.11133669759071 4.20973660458856 0.577061959088807 1.1166689004861 -1.30562473798453 -0.42915476993658 -4.8209481688986 -1.94504184866291 3.40821876262994 1.29182791173793 3.39816106539542 10.8165282157166 3.27295051046244 -4.05170041182735 -1.73226001203167 -2.86919342216524 1.3484520624285 -0.835839271330586 -1.13089379829844 -0.47320215103386 6.38939047506252 -1.70903577980347 0.504261658407004
"R13" 22.0698080326827 8.75114079594908 86.4534462095361 24.1799166576306 18.0942422546076 8.67000830826704 6.45086268842215 15.1842728338235 8.04878113237814 11.0227886127441 20.8546935507351 22.0672800339036 4.46944052066262 9.69685545928959 12.1193184412146 11.9005105363076 12.1444937033059 6.30921124782181 9.26988643193846 11.5599047117447 17.1612775811939 5.99891633763578 14.1730679105448 3.58450269730439 12.2527113461642 8.89543795931399 4.89742385401776 5.44282941619316 8.73769918447282 5.09019836413341 13.5688854768918 12.0860417412829 8.21184050312984 5.67801713104578 4.3231029807287 5.6360001355115 3.00536190916457 4.99460295976361 8.43178224994983 8.77008060321553 5.71326089091308 6.38006552104393 9.5329724695505 3.60186205376418 3.57884063128137 1.61885859210913 3.36642472144534 1.59827044136115 0.382250606494834 3.39346922187445 14.4105427735888 5.51450070709456 5.24399599487618 3.83939825659651 1.89353528679087 -1.78353189187792 1.27121003316272 0.858559046925506 -0.283882846949668 8.57848801687478 8.15229460772785 3.93513123824284 3.87210789097014 1.97996214914983 2.16455664039469 1.06961712118648 2.43049455900709 2.13657292713804 -7.65131010393502 -1.2959195418966 7.92271130935667 2.12188965918112 1.22273776863496 -1.15213817361187 -1.35191946230293 -0.838989412484533 -1.47951813268455 -2.585371128849 -0.667885204134658 13.733099711419 3.84127867537502 0.409573738315803 -1.1308725579392 -2.13316072094873 -2.05575346927365 -6.77458426854709 -8.27604647073804 -4.30963870027381 -9.18149734012645 3.71526819543642 -1.02038849376595 -0.729258748668621 -1.68324494363979 -6.27141329800281 -6.83478764271514 -4.96782144918545 -7.72330312616442 -0.379604945932406 5.60502413903565 7.30217110045228
"R14" 13.2457301307577 16.4327176280973 24.1799166576306 96.886864019654 14.6464685886757 15.7724831885714 12.8486744871897 10.123647695715 7.74440071053159 21.2879184802315 23.4559756738592 16.8697452621139 11.3007150045297 3.65400039548842 5.95044187916833 11.5668143496767 8.90198262071306 6.28338188899204 10.4275967052633 15.596922421659 14.0440220019057 8.20822476549481 13.1231279854749 4.66429566903888 9.46442618691124 10.4919963932182 4.61829805190754 7.61285575055126 10.839418996787 8.705807425801 14.566431412207 10.7054238011418 8.80897541725842 9.37030291517656 3.09059339200128 5.57975598968724 7.27630441710209 5.88341152056151 6.68193684903303 14.2142680140877 8.90025628259699 5.17142224536199 8.40832046512742 5.11220462885258 6.64978332216998 5.10552836166528 4.64982132939922 3.84545037491011 1.98443994212432 10.5464854598634 10.4170647312306 3.42528460266905 6.97376190262382 2.31886563564472 2.5171436622563 1.17698420417717 2.81766506323743 0.740008573161849 2.13416369825509 9.86790611563534 7.3317618206017 6.86505575430985 3.20677449828691 2.45200174791108 1.72430517329029 2.62252130962427 1.96093209446091 1.06355573505864 -5.90696721952636 8.34600467843755 1.83296458662133 1.90004888268289 0.874969888708427 0.481030971157446 1.3178429467868 0.488730561258024 1.52856078447655 -3.86298492234667 0.951728663514837 19.5259501217705 1.7998035956273 1.34317969151149 -0.411229677065028 -4.48241552615488 0.826631463560229 -2.7186520839235 -0.719813837946392 0.0507041271125151 -0.152109394843321 12.8690325078366 -3.70714032038393 -2.73333277140748 -1.51212532924925 -3.16869998296515 -3.46467590832394 -4.5511627617517 -2.78743168627079 2.29635064141499 8.30372387941662 10.1293188138954
"R15" 39.9290690166709 15.6534714541343 18.0942422546076 14.6464685886757 81.3419157153524 38.7848153185709 33.6803772918032 31.7941816072801 31.2466126354497 37.696327675587 19.0812674343285 9.62303395343735 33.0817349683628 29.7042287827638 24.8798809823131 22.1414642270703 22.2314427826873 21.0938525686196 20.5802500698086 29.0148096633058 22.8294636260289 20.863906496846 9.39741032887979 15.7033987488952 18.3263705454408 16.9052516151342 19.3538381476753 14.5435140417572 19.98464337094 21.0457078492102 14.2044903838539 11.3218440470386 16.736225944114 16.1422063314649 16.1515135972425 15.3619138937532 12.6422561636682 14.175613961178 15.3660953944821 23.0180961453728 11.364234285578 13.374413558805 9.45874006920061 7.9849256889796 11.542179993802 8.83052505237474 11.3814725754681 8.6361624215493 12.7820877862412 17.991573043841 17.7371923911713 6.84282160004199 6.35817944830634 7.65335228463521 8.24967182326213 6.33792877282285 9.01657617492336 6.6308994288897 4.02998561725514 13.8890458480753 3.03465111403763 6.57582400118111 5.61131806888872 7.56732172940045 6.60450518419013 5.17915613963523 5.45474130113465 7.02542820618002 10.2480554620498 23.0730946175115 -0.526500166353598 1.3029271401194 6.83406749207203 3.20169424235303 5.56666768289731 2.00854166258532 1.8174818113304 6.45368629734481 -0.37196886739777 4.62317581724581 -0.608901372994765 -0.514834257304126 0.873411484713314 0.50795637439539 -0.983583927029362 1.68321887544735 2.20802045819088 0.49841081435123 4.79701160492473 8.8547819787727 -3.54702597364159 -1.55042573511551 -3.68406574275815 -3.07227236209588 -4.15695047604938 -1.76333851451593 -1.17164242097603 1.32748832254927 8.19554802781685 1.41427774763892
"R16" 33.7641970776007 20.4186330072211 8.67000830826704 15.7724831885714 38.7848153185709 103.683748901733 34.6195734633499 29.0980304270075 23.7467769708285 38.6354042261253 12.811956373663 2.15059572300551 20.1770956964366 36.0196810042233 19.3084077159988 18.5717450101831 11.7296102485534 12.1845901843747 15.8642433560218 23.8229155866757 20.7549379687969 11.5496674049754 1.16227095120577 18.0712018054694 9.89926842800917 9.97406536253745 14.6384679109708 11.9121025782203 23.0085516765035 16.414658652102 6.90148986557744 4.6007550524256 12.1202911728654 11.2522805964552 6.92559424906211 13.8002235269271 8.74968864261124 14.6188471702966 15.7876327235313 22.7528637426603 7.61044348456926 11.4321416127907 5.69353061403311 4.17186398154149 7.93447541351025 5.77316456313669 11.8335063701335 11.7559275496822 15.0851034764891 23.8307927830016 13.8820351070815 5.08828329202075 4.60761917486791 3.86740263130617 7.41091142527042 7.28345049080042 5.29184055974394 7.37888203758622 12.6463045652411 10.1461757363287 1.56472708561669 -10.1474992251997 1.77784728033767 3.88779539361974 2.48328971829441 7.70480484687771 8.28451477848864 10.6610282340074 20.9742451281401 27.8209642392479 -0.813765224482606 -0.0206935429923885 4.73921130555246 4.25520872201329 10.5237517819954 2.690538011997 4.50237319571758 13.7871499676447 1.47896705217721 1.07487458962872 -2.78671889442783 -0.760394839030309 1.63604881317193 -1.25117602154942 -2.8379967173974 5.63888097447255 8.03644178284113 4.50956999522405 10.7113867060113 1.61519321849163 -3.77307630896931 -2.39835811849223 -3.99224736659642 1.6215508803417 -2.85455621782574 -0.610692773479159 0.67819175561576 -4.91045379428237 2.91798190482396 -2.04144334003059
"R17" 39.1393965124242 14.3724437746986 6.45086268842215 12.8486744871897 33.6803772918032 34.6195734633499 88.2386496189212 38.7539671458679 44.358529651427 41.0839284788025 9.90175581074453 5.71750478163345 58.3972145549766 30.7178299989185 31.8247683494015 18.671037347276 22.8927928491495 25.9706112076806 30.0831680032904 37.6410457838438 27.3592341713721 35.5735808748215 4.42218607081788 23.0350415296222 23.5795566589575 22.9791914453917 23.5292337850647 21.0922041421196 23.4199657657457 26.718022388892 5.99614935893224 5.34986949803128 15.3862373489962 18.8527624054727 18.3743189349487 16.5224999226389 16.3183501398293 15.300155344982 21.6813647814401 25.3330403901142 11.0351828524852 17.3137261222337 9.54914345169925 5.38864461899567 9.85728187136826 11.0674157461665 14.0750177543968 15.3117314167749 20.8576293770433 27.0757358273477 12.3063478250158 7.97697658756739 8.23374485753435 6.90751448247454 6.74812565569775 7.97814038880556 10.6443601123287 9.65261379670771 9.86843417602892 4.50510587168779 1.59841036284395 12.2250142493912 5.01187400442658 5.23382290859669 7.73001962833198 7.33785025523112 8.33459102726933 10.3192437771611 14.3731943187031 25.9544929450958 -3.26378575317884 -2.02142213502744 7.01039235218059 4.32227512614096 9.20214286401476 6.54575881297251 4.06330560268657 13.6505858051373 8.18479240249667 -1.56382890861695 -2.83619969634453 -1.20790236667653 2.72576516158475 0.362580905625042 -2.66478224790936 8.05314966127097 12.5210807072194 4.93454217049348 7.68380518664768 1.5768785822235 -4.45239615564127 -3.52425050962807 -4.23333312303259 0.280362934242451 -0.464743817707115 -0.433875674177342 1.62982109266446 3.51977089707159 -1.12455241466684 -3.17277676801554
"R18" 30.0581225393852 12.2065996643553 15.1842728338235 10.123647695715 31.7941816072801 29.0980304270075 38.7539671458679 66.0611039904384 33.7468075374629 34.6901029410416 5.89502512673372 6.20961559138449 38.6120543664643 26.6172918306358 28.2813957215211 20.584371230656 20.9093925579086 23.8862179644529 26.0349030629783 27.9930518696025 16.5573887516379 23.4323676712893 3.46496300582178 21.1477348285397 19.5739380798845 18.9860370820232 19.9130721430311 16.6757270876747 20.4632216588584 20.789866439217 1.61584688474609 7.05342936704773 12.6157931178725 13.1450169572128 15.4260992511761 16.6160234267523 13.813403376845 12.8819979307131 16.8410684914038 20.4098342821499 9.13100592501068 13.1949418554261 7.45567589592578 7.27785483681202 9.63629542836989 7.60198402242579 14.0635304964154 13.1264457243709 16.844592121077 20.5572581521474 11.7439547195571 5.74729884429501 6.82824132419461 5.96181657924774 6.34132991032395 6.55280430002725 8.66748908323432 9.34280987713795 10.1332785440443 7.72111993953638 1.61611815516659 6.45776156861198 4.47728418960265 6.03692688487803 6.48122771234726 5.78193988396442 8.80165813657666 10.230471805263 13.563684546383 21.6501021732057 -2.80804840460294 -0.97839023748491 3.26100913569611 2.60418587055416 6.69285051221551 3.48183822852478 4.80350394866946 10.7635457873368 10.117912829724 1.39202371429827 -2.70178963981901 -1.05456374842985 1.53079399695258 1.30390782246468 0.613946643484776 4.69338494968039 6.27626800653147 7.05643328150082 5.848105958476 1.78971483312217 -4.1884026462446 -2.81970247334911 -3.25751124190775 -0.487338525806314 -0.92630949374244 1.64827198756491 2.02444496865671 3.72668242704622 -1.24388643381956 -0.370761345808944
"R19" 31.2605688914015 29.6707353748198 8.04878113237814 7.74440071053159 31.2466126354497 23.7467769708285 44.358529651427 33.7468075374629 60.475915068456 41.8319492456478 7.20297017651539 6.78912517665552 54.0916683664403 21.5736475549548 29.3683063986939 21.6835258168202 27.0311085583693 31.5361115547614 32.2908110270734 39.2922562113222 22.2182801101805 34.3188280594852 2.31827774798902 21.1845699871198 21.5630738465669 25.1420750239804 24.1667141029314 22.2314490115477 24.8689611683511 30.2279332373914 2.92293216606479 5.79235210433438 15.9672978321079 19.4806427621216 20.4871436940659 17.6499062064382 16.3793082906185 17.6309437364629 20.0581449636297 27.2167625693609 11.6104402300284 14.3912858648782 9.87532996195458 7.51242078347228 10.561050503689 11.3212971567561 12.7488614781124 15.4768050928219 25.4248792837363 22.3823895541288 9.96145758864758 8.43612998002615 7.36194693012439 8.38415413287432 8.51320739105158 10.6007670681123 12.026631592695 15.9366299741785 12.186860448096 12.2836375576463 0.479357672112991 9.84907899815022 4.45291894661418 5.64653665954486 8.18874127586099 7.45379906247008 11.0119984263358 12.6070599837757 17.2482231871397 26.1222447204537 -3.75224606051795 -0.920845354230836 6.75654969503831 4.87128359036902 6.70927728924786 3.33478192419158 7.59625460469197 12.2744976176812 12.6554784878512 -1.32347898417466 -3.46878672138162 -0.173374963953886 1.26532035914805 1.3506212869637 1.66389057839632 6.55056933442762 9.61357694232928 9.73221190943658 10.391838441727 2.7894081655357 -4.78491625437731 -3.64572113637838 -3.95149005802545 0.37884423784504 0.536477037389532 1.54669662836104 4.32191557245013 8.24354048242992 -1.56778435152816 -2.51304631138966
"R110" 34.436553189419 18.1759710408953 11.0227886127441 21.2879184802315 37.696327675587 38.6354042261253 41.0839284788025 34.6901029410416 41.8319492456478 69.2163979865431 10.8452611570221 8.39965925497335 31.0663170980249 32.4030962354481 33.8564102817937 26.2375268178669 25.2318736210644 24.7819725018605 28.7593938484949 43.9009845054708 22.1389360697929 24.5858730590899 6.43313488831783 20.8613340650823 18.061917699893 16.6682398101708 22.0135003941597 19.5056128692982 27.4215747347087 33.1166936064716 9.75159258466698 8.32177986647924 16.2996481629427 15.0579209154262 18.3306529604696 15.582791463864 16.2068423275918 20.9363050363991 21.3505117902611 37.7417905720285 7.81980243783575 11.2552743062991 9.87085494756375 9.35524436775153 12.5130403635143 11.0110741745861 15.1571324673612 14.3740603052782 24.8935001104297 30.1001372407543 10.2920428573509 6.63556459974721 5.56480534015707 7.38226067927023 8.07369864955856 10.7138525717589 9.62387660559799 15.3822158994058 13.5874881916673 21.1376326318339 -1.10267461094554 2.09467586698157 4.31764609939076 7.24016430729992 7.96795418690667 10.0647439435317 11.7669186260799 11.8587905655739 26.6368935436807 31.197128653225 -4.0283579230774 -1.32109106506693 5.90485466676262 6.36602927260734 6.22812364252898 4.18111667900936 7.06026396598948 11.4842329503377 6.61426015110285 4.21528701242216 -4.29084052835436 0.369977268807692 1.11332388159849 3.06919738820914 4.3887740602244 5.21535402651988 12.9165120960564 12.6232523176748 13.0649210556848 10.4006181639875 -6.10586200767021 -4.81174727452335 -3.83340850672855 -0.766587683270806 -0.520536233767278 2.63117450020706 5.35969642663853 5.35312524104117 6.32735314362933 -0.670726431110068
